Exchange|Security Type|Symbol|Root symbol (for opt|Listed Currency|Company name|Additional company n|ISIN code|Contract name|Local instrument cod|Country|Market specific secu|Market specific segm|Listing market for t|Original exchange co|Exchange code|QS Symbol Suffix|Sedol|MS Performance ID|Global ID investment|MS Listing Exchange |MS Extended Support |Morningstar ID|Fund Type
146|2|AGL6I2300|AGL|AUD|||AU000AGLGR93|29-SEP-16 C OPT 2300 [AGLGR9]|AGLGR9|AU|||146||XASX|ax|||||0||
146|2|AGL6I2350|AGL|AUD|||AU000AGLI898|29-SEP-16 C OPT 2350 [AGLI89]|AGLI89|AU|||146||XASX|ax|||||0||
146|2|AGL6I2400|AGL|AUD|||AU000AGLIX93|29-SEP-16 C OPT 2400 [AGLIX9]|AGLIX9|AU|||146||XASX|ax|||||0||
146|2|AGL6I2450|AGL|AUD|||AU000AGLKS96|29-SEP-16 COPT2450 [AGLKS9]|AGLKS9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1|AGL|AUD|||AU000AGLKN91|27-OCT-16 COPT1 [AGLKN9]|AGLKN9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1475|AGL|AUD|||AU000AGLBJ98|27-OCT-16 C OPT 1475 [AGLBJ9]|AGLBJ9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1500|AGL|AUD|||AU000AGLB299|27-OCT-16 C OPT 1500 [AGLB29]|AGLB29|AU|||146||XASX|ax|||||0||
146|2|AGL6J1550|AGL|AUD|||AU000AGLBL94|27-OCT-16 C OPT 1550 [AGLBL9]|AGLBL9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1600|AGL|AUD|||AU000AGLZY83|27-OCT-16 C OPT 1600 [AGLZY8]|AGLZY8|AU|||146||XASX|ax|||||0||
146|2|AGL6J1650|AGL|AUD|||AU000AGLBO91|27-OCT-16 C OPT 1650 [AGLBO9]|AGLBO9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1700|AGL|AUD|||AU000AGLZU87|27-OCT-16 C OPT 1700 [AGLZU8]|AGLZU8|AU|||146||XASX|ax|||||0||
146|2|AGL6J1750|AGL|AUD|||AU000AGLBF92|27-OCT-16 C OPT 1750 [AGLBF9]|AGLBF9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1800|AGL|AUD|||AU000AGLZW85|27-OCT-16 C OPT 1800 [AGLZW8]|AGLZW8|AU|||146||XASX|ax|||||0||
146|2|AGL6J1850|AGL|AUD|||AU000AGLBH90|27-OCT-16 C OPT 1850 [AGLBH9]|AGLBH9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1851|AGL|AUD|||AU000AGLLF90|27-OCT-16 COPT1851 [AGLLF9]|AGLLF9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1900|AGL|AUD|||AU000AGLB695|27-OCT-16 C OPT 1900 [AGLB69]|AGLB69|AU|||146||XASX|ax|||||0||
146|2|AGL6J1950|AGL|AUD|||AU000AGLBU93|27-OCT-16 C OPT 1950 [AGLBU9]|AGLBU9|AU|||146||XASX|ax|||||0||
146|2|AGL6J1951|AGL|AUD|||AU000AGLFP96|27-OCT-16 C OPT 1951 [AGLFP9]|AGLFP9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2000|AGL|AUD|||AU000AGLB893|27-OCT-16 C OPT 2000 [AGLB89]|AGLB89|AU|||146||XASX|ax|||||0||
146|2|AGL6J2001|AGL|AUD|||AU000AGLFQ95|27-OCT-16 C OPT 2001 [AGLFQ9]|AGLFQ9|AU|||146||XASX|ax|||||0||
146|2|AGL6J2050|AGL|AUD|||AU000AGLBS97|27-OCT-16 C OPT 2050 [AGLBS9]|AGLBS9|AU|||146||XASX|ax|||||0||
